case_name,run_id,target_prompt_tokens,prompt_tokens,prompt_chars,max_tokens,latency_seconds,ttft_seconds,tpot_seconds,completion_tokens,total_tokens,one_over_tpot_tokens_per_second,response_chars,response_preview,error
short_prompt_long_output,5,64,72,105,512,14.2825,0.0730,0.0278,512,584,35.9712,1047,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_long_output,3,64,72,105,512,14.0133,0.0745,0.0273,512,584,36.6300,1047,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_short_output,1,64,72,105,64,1.8073,0.0715,0.0276,64,136,36.2319,142,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
long_prompt_short_output,3,2048,2088,5163,64,2.3011,0.5913,0.0271,64,2152,36.9004,124,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
short_prompt_short_output,10,64,72,105,64,1.7832,0.0717,0.0272,64,136,36.7647,142,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_long_output,4,64,72,105,512,14.0452,0.0729,0.0273,512,584,36.6300,1047,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_long_output,2,64,72,105,512,13.8538,0.0722,0.0270,512,584,37.0370,1047,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_short_output,5,64,72,105,64,1.7376,0.0744,0.0264,64,136,37.8788,142,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_short_output,7,64,72,105,64,1.7521,0.0718,0.0267,64,136,37.4532,142,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_short_output,4,64,72,105,64,1.7475,0.0758,0.0265,64,136,37.7358,142,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_short_output,8,64,72,105,64,1.7279,0.0712,0.0263,64,136,38.0228,142,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
long_prompt_short_output,6,2048,2088,5163,64,2.3097,0.6255,0.0267,64,2152,37.4532,124,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
short_prompt_long_output,1,64,72,105,512,13.7449,0.0717,0.0268,512,584,37.3134,1047,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
long_prompt_long_output,5,2048,2088,5163,512,14.4094,0.5784,0.0271,512,2600,36.9004,1055,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_long_output,1,2048,2088,5163,512,14.4555,0.5876,0.0271,512,2600,36.9004,1055,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_long_output,2,2048,2088,5163,512,14.3768,0.5896,0.0270,512,2600,37.0370,1055,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_short_output,8,2048,2088,5163,64,2.2091,0.5806,0.0259,64,2152,38.6100,124,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_long_output,4,2048,2088,5163,512,14.0905,0.5847,0.0264,512,2600,37.8788,1055,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_short_output,2,2048,2088,5163,64,2.2282,0.5961,0.0259,64,2152,38.6100,124,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
short_prompt_short_output,9,64,72,105,64,1.7473,0.0746,0.0266,64,136,37.5940,142,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_short_output,2,64,72,105,64,1.7194,0.0701,0.0262,64,136,38.1679,142,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
long_prompt_long_output,9,2048,2088,5163,512,14.4272,0.5849,0.0271,512,2600,36.9004,1055,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_long_output,3,2048,2088,5163,512,14.6049,0.5931,0.0274,512,2600,36.4964,1055,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
short_prompt_short_output,3,64,72,105,64,1.7554,0.0734,0.0267,64,136,37.4532,142,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
long_prompt_short_output,10,2048,2088,5163,64,2.2857,0.5760,0.0271,64,2152,36.9004,124,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
short_prompt_short_output,6,64,72,105,64,1.7935,0.0735,0.0273,64,136,36.6300,142,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
long_prompt_short_output,9,2048,2088,5163,64,2.2497,0.5813,0.0265,64,2152,37.7358,124,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_short_output,5,2048,2088,5163,64,2.2374,0.6019,0.0260,64,2152,38.4615,124,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
short_prompt_long_output,9,64,72,105,512,13.5765,0.0700,0.0264,512,584,37.8788,1047,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_long_output,7,64,72,105,512,13.6555,0.0731,0.0266,512,584,37.5940,1047,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
